5613, jungle, byg:crag_gardens, WATER_AMBIENT, aquaculture:arapaima,10,1,1
6356, jungle, byg:guiana_shield, WATER_AMBIENT, aquaculture:arapaima,10,1,1
2058, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, aquaculture:arapaima,10,1,1
1886, jungle, minecraft:jungle, WATER_AMBIENT, aquaculture:arapaima,10,1,1
1971, jungle, minecraft:sparse_jungle, WATER_AMBIENT, aquaculture:arapaima,10,1,1
5606, jungle, byg:crag_gardens, CREATURE, aquaculture:arrau_turtle,10,1,2
6347, jungle, byg:guiana_shield, CREATURE, aquaculture:arrau_turtle,10,1,2
2050, jungle, minecraft:bamboo_jungle, CREATURE, aquaculture:arrau_turtle,10,1,2
1878, jungle, minecraft:jungle, CREATURE, aquaculture:arrau_turtle,10,1,2
1963, jungle, minecraft:sparse_jungle, CREATURE, aquaculture:arrau_turtle,10,1,2
3603, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_cod,10,1,1
3680, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:atlantic_cod,10,1,1
3837, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_cod,10,1,1
3760, ocean, minecraft:frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_cod,10,1,1
3095, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_cod,10,1,1
5767, ocean, byg:lush_stacks, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3011, beach, minecraft:beach, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3594, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3671, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3828, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3381, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3523, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3751, ocean, minecraft:frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3308, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3452, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
